Year,GDP_baseline,GDP,Temp,Emissions,Damages,SSP
2058,191078.10864374205,185866.48181400975,3.233961161896252,25.21526775422602,5211.626829732272,SSP2
2059,189445.82612506306,184155.7015081658,3.270675059978424,24.475932054781293,5290.124616897261,SSP2
2060,187635.09546486422,182275.89339482074,3.306278029089082,23.735312740439124,5359.202070043497,SSP2
2061,185864.11455634187,180439.29183044034,3.34079835945919,23.01355358007168,5424.822725901515,SSP2
2062,183922.783449365,178441.9409812569,3.374237147874048,22.292525609905816,5480.842468108118,SSP2
2063,181821.625619642,176294.38969414873,3.406598320998821,21.574115416514804,5527.235925493304,SSP2
2064,179571.33454959298,174007.29603284987,3.4378884475143474,20.860084343684473,5564.0385167431305,SSP2
2065,177182.704373913,171591.36119494276,3.4681165475768285,20.15206670832078,5591.343178970222,SSP2
2066,174737.3848682242,169125.81388953165,3.4972939111276196,19.451575700527393,5611.570978692523,SSP2
2067,172170.8051755161,166548.23304747755,3.5254337194081327,18.75987218700849,5622.572128038565,SSP2
2068,169493.78422735777,163869.2036140463,3.5525510620698544,18.078228441147946,5624.580613311481,SSP2
2069,166717.0079052286,161099.1360772187,3.5786627480857183,17.40779067724271,5617.871828009923,SSP2
2070,163850.97775666663,158248.22002225215,3.603787121074631,16.749581992608107,5602.757734414507,SSP2
2071,160955.77832213813,155374.46900747277,3.627941359476198,16.1028256010447,5581.309314665385,SSP2
2072,157988.13990227962,152436.0528788246,3.6511464855179074,15.470084027806807,5552.087023455035,SSP2
2073,154957.87302921727,149442.3916502709,3.6734245439728186,14.852038969940502,5515.481378946381,SSP2
2074,151874.45158513766,146402.5505907904,3.6947984420896613,14.24926541122862,5471.90099434724,SSP2
2075,148746.98557598976,143325.21747153124,3.7152917979255955,13.66223722395614,5421.76810445854,SSP2
2076,145614.68444645236,140248.0465588892,3.7349248460265274,13.088698733955004,5366.637887563143,SSP2
2077,142453.13509178272,137147.382343204,3.7537225441378634,12.53179874089059,5305.752748578682,SSP2
2078,139270.34102660895,134030.78802716933,3.771710146625911,11.991734992031828,5239.552999439641,SSP2
2079,136073.87791399256,130905.40025527435,3.788913088037856,11.468627607963402,5168.477658718194,SSP2
2080,132870.88770585723,127777.92630693849,3.805356875953388,10.9625252770214,5092.96139891871,SSP2
2081,129702.86444070791,124688.08757977058,3.821065020157886,10.472096136332066,5014.776860937324,SSP2
2082,126538.60071719479,121605.6912541462,3.836063041281732,9.99868074923048,4932.909463048606,SSP2
2083,123384.06503081124,118536.29725823933,3.85037626212688,9.542147230098422,4847.767772571916,SSP2
2084,120244.79861596637,115485.05123970288,3.86402973478363,9.102315104500107,4759.747376263528,SSP2
2085,117125.92360267602,112456.69422354581,3.877048175835019,8.678960700926133,4669.229379130217,SSP2
2086,114074.70713568911,109496.4200826243,3.889455956233525,8.27185359900414,4578.287053064804,SSP2
2087,111049.4954836106,106564.05016028055,3.9012768990142535,7.880628520485297,4485.445323330063,SSP2
2088,108054.39466128574,103663.3561276363,3.9125343523476976,7.504968888963164,4391.038533649419,SSP2
2089,105093.137056444,100797.75355368524,3.9232511516406987,7.144532862000321,4295.383502758756,SSP2
2090,102169.09624774064,97970.31706870088,3.933449587683641,6.798957361961294,4198.779179039763,SSP2
2091,99322.91204709379,95219.8519084036,3.9431516620996767,6.468049610690696,4103.06013869021,SSP2
2092,96516.5707709512,92509.74824190853,3.95237843235532,6.15118017042873,4006.8225290426803,SSP2
2093,93752.6346660387,89842.31930421648,3.9611503575936693,5.8479501588999065,3910.3153618222264,SSP2
2094,91033.36635450303,87219.59616531248,3.9694872855004517,5.557951937854561,3813.77018919057,SSP2
2095,88360.74525053182,84643.34381834342,3.9774084431763423,5.280771783927403,3717.4014321884106,SSP2
2096,85760.550099816,82138.12677107507,3.984932076786456,5.015755740075445,3622.4233287409284,SSP2
2097,83208.14359198205,79680.22186760571,3.9920761778737743,4.762734058212406,3527.9217243763337,SSP2
2098,80704.8713070886,77270.80520411057,3.9988581113310566,4.521288971521361,3434.0661029780254,SSP2
2099,78251.85487259358,74910.8439808081,4.005294618282286,4.2910046341528,3341.010891785492,SSP2
2100,75850.00713256738,72601.11104225351,4.011401821288476,4.0714686707934105,3248.8960903138627,SSP2
