,Continent,Year,energy_intensity,carbon_intensity
172,Asia,2071,0.7316675367756915,0.1923957637360688
173,Asia,2072,0.722307035382133,0.19143378491738844
174,Asia,2073,0.7130662864470818,0.19047661599280147
175,Asia,2074,0.7039437579317382,0.1895242329128375
176,Asia,2075,0.6949379373972584,0.18857661174827328
177,Asia,2076,0.6860473317540045,0.18763372868953193
178,Asia,2077,0.6772704670140027,0.18669556004608426
179,Asia,2078,0.6686058880465693,0.18576208224585383
180,Asia,2079,0.6600521583370605,0.18483327183462459
181,Asia,2080,0.6516078597487122,0.18390910547545145
182,Asia,2081,0.6432715922875232,0.1829895599480742
183,Asia,2082,0.6350419738701492,0.18207461214833384
184,Asia,2083,0.6269176400947639,0.18116423908759216
185,Asia,2084,0.6188972440148536,0.1802584178921542
186,Asia,2085,0.6109794559159037,0.17935712580269342
187,Asia,2086,0.603162963094942,0.17846034017367995
188,Asia,2087,0.5954464696429113,0.17756803847281155
189,Asia,2088,0.5878286962298063,0.1766801982804475
190,Asia,2089,0.5803083798925793,0.17579679728904526
191,Asia,2090,0.5728842738257505,0.1749178133026
192,Asia,2091,0.5655551471746967,0.174043224236087
193,Asia,2092,0.5583197848315866,0.17317300811490657
194,Asia,2093,0.5511769872339265,0.17230714307433206
195,Asia,2094,0.544125570165682,0.1714456073589604
196,Asia,2095,0.5371643645609455,0.17058837932216558
197,Asia,2096,0.5302922163101148,0.16973543742555475
198,Asia,2097,0.5235079860685512,0.16888676023842697
199,Asia,2098,0.5168105490676856,0.16804232643723485
200,Asia,2099,0.5101987949285419,0.16720211480504868
201,Asia,2100,0.5036716274776447,0.16636610423102344
202,Europe,2000,1.9274732361605809,0.19810503022905027
203,Europe,2001,1.8864569835228027,0.19860134488879005
204,Europe,2002,1.8254743082016645,0.19938359943843384
205,Europe,2003,1.7987300852642534,0.19998500722051082
206,Europe,2004,1.7435192413662297,0.19836605078586445
207,Europe,2005,1.685401497645596,0.19825219197582133
208,Europe,2006,1.635274299776498,0.1988902797401443
209,Europe,2007,1.5453620193330313,0.19899950823428672
210,Europe,2008,1.5042782658180778,0.19715680017497123
211,Europe,2009,1.4729294175446634,0.19213673384362076
212,Europe,2010,1.4796961841616079,0.19137549367601872
213,Europe,2011,1.4173098421039951,0.19112364992714845
214,Europe,2012,1.4104696671989823,0.19039392485585668
215,Europe,2013,1.3876288008685644,0.1870421964922514
216,Europe,2014,1.3246045663588986,0.1850911284060986
217,Europe,2015,1.3055652334611323,0.18512705155998146
218,Europe,2016,1.29856387786597,0.18215465896412564
219,Europe,2017,1.2745184094590203,0.18090219336140714
220,Europe,2018,1.2598039081794312,0.17807859285652933
221,Europe,2019,1.2181504948311201,0.17448634732600163
222,Europe,2020,1.2100043211040235,0.17188941165992058
223,Europe,2021,1.196266749469832,0.17444657649247186
224,Europe,2022,1.127632261844697,0.1740819620595228
225,Europe,2023,1.1016419216609425,0.17280906890197267
226,Europe,2024,1.0762506223220765,0.17154548318197338
227,Europe,2025,1.051444556777821,0.17029113684322805
228,Europe,2026,1.0272102362110116,0.16904596232707106
229,Europe,2027,1.003534482702778,0.16780989256882678
230,Europe,2028,0.9804044220667749,0.16658286099419992
231,Europe,2029,0.9578074768485743,0.1653648015156875
